,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
30306,13330434,52072,BANKNIFTY21OCT34000CE,BANKNIFTY,0,28-10-2021,34000,0.05,25,CE,NFO-OPT,NFO
30307,13330690,52073,BANKNIFTY21OCT34000PE,BANKNIFTY,0,28-10-2021,34000,0.05,25,PE,NFO-OPT,NFO
30308,13332226,52079,BANKNIFTY21OCT34100CE,BANKNIFTY,0,28-10-2021,34100,0.05,25,CE,NFO-OPT,NFO
30309,13334274,52087,BANKNIFTY21OCT34100PE,BANKNIFTY,0,28-10-2021,34100,0.05,25,PE,NFO-OPT,NFO
30310,13334530,52088,BANKNIFTY21OCT34200CE,BANKNIFTY,0,28-10-2021,34200,0.05,25,CE,NFO-OPT,NFO
30311,13334786,52089,BANKNIFTY21OCT34200PE,BANKNIFTY,0,28-10-2021,34200,0.05,25,PE,NFO-OPT,NFO
30312,13335042,52090,BANKNIFTY21OCT34300CE,BANKNIFTY,0,28-10-2021,34300,0.05,25,CE,NFO-OPT,NFO
30313,13335298,52091,BANKNIFTY21OCT34300PE,BANKNIFTY,0,28-10-2021,34300,0.05,25,PE,NFO-OPT,NFO
30314,13335554,52092,BANKNIFTY21OCT34400CE,BANKNIFTY,0,28-10-2021,34400,0.05,25,CE,NFO-OPT,NFO
30315,13335810,52093,BANKNIFTY21OCT34400PE,BANKNIFTY,0,28-10-2021,34400,0.05,25,PE,NFO-OPT,NFO
30316,13336066,52094,BANKNIFTY21OCT34500CE,BANKNIFTY,0,28-10-2021,34500,0.05,25,CE,NFO-OPT,NFO
30317,13336834,52097,BANKNIFTY21OCT34500PE,BANKNIFTY,0,28-10-2021,34500,0.05,25,PE,NFO-OPT,NFO
30318,13337090,52098,BANKNIFTY21OCT34600CE,BANKNIFTY,0,28-10-2021,34600,0.05,25,CE,NFO-OPT,NFO
30319,13337858,52101,BANKNIFTY21OCT34600PE,BANKNIFTY,0,28-10-2021,34600,0.05,25,PE,NFO-OPT,NFO
30320,13338114,52102,BANKNIFTY21OCT34700CE,BANKNIFTY,0,28-10-2021,34700,0.05,25,CE,NFO-OPT,NFO
30321,13339906,52109,BANKNIFTY21OCT34700PE,BANKNIFTY,0,28-10-2021,34700,0.05,25,PE,NFO-OPT,NFO
30322,13340162,52110,BANKNIFTY21OCT34800CE,BANKNIFTY,0,28-10-2021,34800,0.05,25,CE,NFO-OPT,NFO
30323,13340418,52111,BANKNIFTY21OCT34800PE,BANKNIFTY,0,28-10-2021,34800,0.05,25,PE,NFO-OPT,NFO
30324,13340674,52112,BANKNIFTY21OCT34900CE,BANKNIFTY,0,28-10-2021,34900,0.05,25,CE,NFO-OPT,NFO
30325,13340930,52113,BANKNIFTY21OCT34900PE,BANKNIFTY,0,28-10-2021,34900,0.05,25,PE,NFO-OPT,NFO
30326,13341186,52114,BANKNIFTY21OCT35000CE,BANKNIFTY,0,28-10-2021,35000,0.05,25,CE,NFO-OPT,NFO
30327,13341442,52115,BANKNIFTY21OCT35000PE,BANKNIFTY,0,28-10-2021,35000,0.05,25,PE,NFO-OPT,NFO
30328,13341698,52116,BANKNIFTY21OCT35100CE,BANKNIFTY,0,28-10-2021,35100,0.05,25,CE,NFO-OPT,NFO
30329,13341954,52117,BANKNIFTY21OCT35100PE,BANKNIFTY,0,28-10-2021,35100,0.05,25,PE,NFO-OPT,NFO
30330,13342210,52118,BANKNIFTY21OCT35200CE,BANKNIFTY,0,28-10-2021,35200,0.05,25,CE,NFO-OPT,NFO
30331,13342466,52119,BANKNIFTY21OCT35200PE,BANKNIFTY,0,28-10-2021,35200,0.05,25,PE,NFO-OPT,NFO
30332,13342722,52120,BANKNIFTY21OCT35300CE,BANKNIFTY,0,28-10-2021,35300,0.05,25,CE,NFO-OPT,NFO
30333,13342978,52121,BANKNIFTY21OCT35300PE,BANKNIFTY,0,28-10-2021,35300,0.05,25,PE,NFO-OPT,NFO
30334,13343234,52122,BANKNIFTY21OCT35400CE,BANKNIFTY,0,28-10-2021,35400,0.05,25,CE,NFO-OPT,NFO
30335,13343490,52123,BANKNIFTY21OCT35400PE,BANKNIFTY,0,28-10-2021,35400,0.05,25,PE,NFO-OPT,NFO
30336,13343746,52124,BANKNIFTY21OCT35500CE,BANKNIFTY,0,28-10-2021,35500,0.05,25,CE,NFO-OPT,NFO
30337,13344002,52125,BANKNIFTY21OCT35500PE,BANKNIFTY,0,28-10-2021,35500,0.05,25,PE,NFO-OPT,NFO
30338,13344258,52126,BANKNIFTY21OCT35600CE,BANKNIFTY,0,28-10-2021,35600,0.05,25,CE,NFO-OPT,NFO
30339,13344514,52127,BANKNIFTY21OCT35600PE,BANKNIFTY,0,28-10-2021,35600,0.05,25,PE,NFO-OPT,NFO
30340,13344770,52128,BANKNIFTY21OCT35700CE,BANKNIFTY,0,28-10-2021,35700,0.05,25,CE,NFO-OPT,NFO
30341,13345026,52129,BANKNIFTY21OCT35700PE,BANKNIFTY,0,28-10-2021,35700,0.05,25,PE,NFO-OPT,NFO
30342,13345282,52130,BANKNIFTY21OCT35800CE,BANKNIFTY,0,28-10-2021,35800,0.05,25,CE,NFO-OPT,NFO
30343,13345538,52131,BANKNIFTY21OCT35800PE,BANKNIFTY,0,28-10-2021,35800,0.05,25,PE,NFO-OPT,NFO
30344,13345794,52132,BANKNIFTY21OCT35900CE,BANKNIFTY,0,28-10-2021,35900,0.05,25,CE,NFO-OPT,NFO
30345,13346050,52133,BANKNIFTY21OCT35900PE,BANKNIFTY,0,28-10-2021,35900,0.05,25,PE,NFO-OPT,NFO
30346,13346306,52134,BANKNIFTY21OCT36000CE,BANKNIFTY,0,28-10-2021,36000,0.05,25,CE,NFO-OPT,NFO
30347,13346562,52135,BANKNIFTY21OCT36000PE,BANKNIFTY,0,28-10-2021,36000,0.05,25,PE,NFO-OPT,NFO
30348,13346818,52136,BANKNIFTY21OCT36100CE,BANKNIFTY,0,28-10-2021,36100,0.05,25,CE,NFO-OPT,NFO
30349,13347074,52137,BANKNIFTY21OCT36100PE,BANKNIFTY,0,28-10-2021,36100,0.05,25,PE,NFO-OPT,NFO
30350,13347330,52138,BANKNIFTY21OCT36200CE,BANKNIFTY,0,28-10-2021,36200,0.05,25,CE,NFO-OPT,NFO
30351,13347586,52139,BANKNIFTY21OCT36200PE,BANKNIFTY,0,28-10-2021,36200,0.05,25,PE,NFO-OPT,NFO
30352,13347842,52140,BANKNIFTY21OCT36300CE,BANKNIFTY,0,28-10-2021,36300,0.05,25,CE,NFO-OPT,NFO
30353,13348098,52141,BANKNIFTY21OCT36300PE,BANKNIFTY,0,28-10-2021,36300,0.05,25,PE,NFO-OPT,NFO
30354,13348354,52142,BANKNIFTY21OCT36400CE,BANKNIFTY,0,28-10-2021,36400,0.05,25,CE,NFO-OPT,NFO
30355,13348610,52143,BANKNIFTY21OCT36400PE,BANKNIFTY,0,28-10-2021,36400,0.05,25,PE,NFO-OPT,NFO
30356,13348866,52144,BANKNIFTY21OCT36500CE,BANKNIFTY,0,28-10-2021,36500,0.05,25,CE,NFO-OPT,NFO
30357,13349122,52145,BANKNIFTY21OCT36500PE,BANKNIFTY,0,28-10-2021,36500,0.05,25,PE,NFO-OPT,NFO
30358,13349378,52146,BANKNIFTY21OCT36600CE,BANKNIFTY,0,28-10-2021,36600,0.05,25,CE,NFO-OPT,NFO
30359,13349634,52147,BANKNIFTY21OCT36600PE,BANKNIFTY,0,28-10-2021,36600,0.05,25,PE,NFO-OPT,NFO
30360,13349890,52148,BANKNIFTY21OCT36700CE,BANKNIFTY,0,28-10-2021,36700,0.05,25,CE,NFO-OPT,NFO
30361,13350146,52149,BANKNIFTY21OCT36700PE,BANKNIFTY,0,28-10-2021,36700,0.05,25,PE,NFO-OPT,NFO
30362,13350402,52150,BANKNIFTY21OCT36800CE,BANKNIFTY,0,28-10-2021,36800,0.05,25,CE,NFO-OPT,NFO
30363,13350658,52151,BANKNIFTY21OCT36800PE,BANKNIFTY,0,28-10-2021,36800,0.05,25,PE,NFO-OPT,NFO
30364,13350914,52152,BANKNIFTY21OCT36900CE,BANKNIFTY,0,28-10-2021,36900,0.05,25,CE,NFO-OPT,NFO
30365,13351170,52153,BANKNIFTY21OCT36900PE,BANKNIFTY,0,28-10-2021,36900,0.05,25,PE,NFO-OPT,NFO
30366,13351426,52154,BANKNIFTY21OCT37000CE,BANKNIFTY,0,28-10-2021,37000,0.05,25,CE,NFO-OPT,NFO
30367,13351682,52155,BANKNIFTY21OCT37000PE,BANKNIFTY,0,28-10-2021,37000,0.05,25,PE,NFO-OPT,NFO
30368,13351938,52156,BANKNIFTY21OCT37100CE,BANKNIFTY,0,28-10-2021,37100,0.05,25,CE,NFO-OPT,NFO
30369,13352194,52157,BANKNIFTY21OCT37100PE,BANKNIFTY,0,28-10-2021,37100,0.05,25,PE,NFO-OPT,NFO
30370,13352450,52158,BANKNIFTY21OCT37200CE,BANKNIFTY,0,28-10-2021,37200,0.05,25,CE,NFO-OPT,NFO
30371,13352706,52159,BANKNIFTY21OCT37200PE,BANKNIFTY,0,28-10-2021,37200,0.05,25,PE,NFO-OPT,NFO
30372,13352962,52160,BANKNIFTY21OCT37300CE,BANKNIFTY,0,28-10-2021,37300,0.05,25,CE,NFO-OPT,NFO
30373,13353218,52161,BANKNIFTY21OCT37300PE,BANKNIFTY,0,28-10-2021,37300,0.05,25,PE,NFO-OPT,NFO
30374,13353474,52162,BANKNIFTY21OCT37400CE,BANKNIFTY,0,28-10-2021,37400,0.05,25,CE,NFO-OPT,NFO
30375,13353730,52163,BANKNIFTY21OCT37400PE,BANKNIFTY,0,28-10-2021,37400,0.05,25,PE,NFO-OPT,NFO
30376,13353986,52164,BANKNIFTY21OCT37500CE,BANKNIFTY,0,28-10-2021,37500,0.05,25,CE,NFO-OPT,NFO
30377,13354242,52165,BANKNIFTY21OCT37500PE,BANKNIFTY,0,28-10-2021,37500,0.05,25,PE,NFO-OPT,NFO
30378,13354498,52166,BANKNIFTY21OCT37600CE,BANKNIFTY,0,28-10-2021,37600,0.05,25,CE,NFO-OPT,NFO
30379,13354754,52167,BANKNIFTY21OCT37600PE,BANKNIFTY,0,28-10-2021,37600,0.05,25,PE,NFO-OPT,NFO
30380,13355010,52168,BANKNIFTY21OCT37700CE,BANKNIFTY,0,28-10-2021,37700,0.05,25,CE,NFO-OPT,NFO
30381,13355266,52169,BANKNIFTY21OCT37700PE,BANKNIFTY,0,28-10-2021,37700,0.05,25,PE,NFO-OPT,NFO
30382,13355522,52170,BANKNIFTY21OCT37800CE,BANKNIFTY,0,28-10-2021,37800,0.05,25,CE,NFO-OPT,NFO
30383,13355778,52171,BANKNIFTY21OCT37800PE,BANKNIFTY,0,28-10-2021,37800,0.05,25,PE,NFO-OPT,NFO
30384,13356034,52172,BANKNIFTY21OCT37900CE,BANKNIFTY,0,28-10-2021,37900,0.05,25,CE,NFO-OPT,NFO
30385,13356290,52173,BANKNIFTY21OCT37900PE,BANKNIFTY,0,28-10-2021,37900,0.05,25,PE,NFO-OPT,NFO
30386,13356546,52174,BANKNIFTY21OCT38000CE,BANKNIFTY,0,28-10-2021,38000,0.05,25,CE,NFO-OPT,NFO
30387,13356802,52175,BANKNIFTY21OCT38000PE,BANKNIFTY,0,28-10-2021,38000,0.05,25,PE,NFO-OPT,NFO
30388,13357058,52176,BANKNIFTY21OCT38100CE,BANKNIFTY,0,28-10-2021,38100,0.05,25,CE,NFO-OPT,NFO
30389,13357314,52177,BANKNIFTY21OCT38100PE,BANKNIFTY,0,28-10-2021,38100,0.05,25,PE,NFO-OPT,NFO
30390,13357570,52178,BANKNIFTY21OCT38200CE,BANKNIFTY,0,28-10-2021,38200,0.05,25,CE,NFO-OPT,NFO
30391,13357826,52179,BANKNIFTY21OCT38200PE,BANKNIFTY,0,28-10-2021,38200,0.05,25,PE,NFO-OPT,NFO
30392,13358082,52180,BANKNIFTY21OCT38300CE,BANKNIFTY,0,28-10-2021,38300,0.05,25,CE,NFO-OPT,NFO
30393,13358338,52181,BANKNIFTY21OCT38300PE,BANKNIFTY,0,28-10-2021,38300,0.05,25,PE,NFO-OPT,NFO
30394,13358594,52182,BANKNIFTY21OCT38400CE,BANKNIFTY,0,28-10-2021,38400,0.05,25,CE,NFO-OPT,NFO
30395,13358850,52183,BANKNIFTY21OCT38400PE,BANKNIFTY,0,28-10-2021,38400,0.05,25,PE,NFO-OPT,NFO
30396,13359106,52184,BANKNIFTY21OCT38500CE,BANKNIFTY,0,28-10-2021,38500,0.05,25,CE,NFO-OPT,NFO
30397,13359362,52185,BANKNIFTY21OCT38500PE,BANKNIFTY,0,28-10-2021,38500,0.05,25,PE,NFO-OPT,NFO
30398,13359618,52186,BANKNIFTY21OCT38600CE,BANKNIFTY,0,28-10-2021,38600,0.05,25,CE,NFO-OPT,NFO
30399,13359874,52187,BANKNIFTY21OCT38600PE,BANKNIFTY,0,28-10-2021,38600,0.05,25,PE,NFO-OPT,NFO
30400,13360130,52188,BANKNIFTY21OCT38700CE,BANKNIFTY,0,28-10-2021,38700,0.05,25,CE,NFO-OPT,NFO
30401,13360386,52189,BANKNIFTY21OCT38700PE,BANKNIFTY,0,28-10-2021,38700,0.05,25,PE,NFO-OPT,NFO
30402,9626626,37604,BANKNIFTY21OCT38800CE,BANKNIFTY,0,28-10-2021,38800,0.05,25,CE,NFO-OPT,NFO
30403,9626882,37605,BANKNIFTY21OCT38800PE,BANKNIFTY,0,28-10-2021,38800,0.05,25,PE,NFO-OPT,NFO
30404,9627138,37606,BANKNIFTY21OCT38900CE,BANKNIFTY,0,28-10-2021,38900,0.05,25,CE,NFO-OPT,NFO
30405,9627394,37607,BANKNIFTY21OCT38900PE,BANKNIFTY,0,28-10-2021,38900,0.05,25,PE,NFO-OPT,NFO
30406,9627650,37608,BANKNIFTY21OCT39000CE,BANKNIFTY,0,28-10-2021,39000,0.05,25,CE,NFO-OPT,NFO
30407,9628162,37610,BANKNIFTY21OCT39000PE,BANKNIFTY,0,28-10-2021,39000,0.05,25,PE,NFO-OPT,NFO
30408,9629698,37616,BANKNIFTY21OCT39100CE,BANKNIFTY,0,28-10-2021,39100,0.05,25,CE,NFO-OPT,NFO
30409,9629954,37617,BANKNIFTY21OCT39100PE,BANKNIFTY,0,28-10-2021,39100,0.05,25,PE,NFO-OPT,NFO
30410,9630210,37618,BANKNIFTY21OCT39200CE,BANKNIFTY,0,28-10-2021,39200,0.05,25,CE,NFO-OPT,NFO
30411,9630466,37619,BANKNIFTY21OCT39200PE,BANKNIFTY,0,28-10-2021,39200,0.05,25,PE,NFO-OPT,NFO
30412,10035202,39200,BANKNIFTY21OCT39300CE,BANKNIFTY,0,28-10-2021,39300,0.05,25,CE,NFO-OPT,NFO
30413,10035458,39201,BANKNIFTY21OCT39300PE,BANKNIFTY,0,28-10-2021,39300,0.05,25,PE,NFO-OPT,NFO
30414,10047490,39248,BANKNIFTY21OCT39400CE,BANKNIFTY,0,28-10-2021,39400,0.05,25,CE,NFO-OPT,NFO
30415,10047746,39249,BANKNIFTY21OCT39400PE,BANKNIFTY,0,28-10-2021,39400,0.05,25,PE,NFO-OPT,NFO
30416,10048002,39250,BANKNIFTY21OCT39500CE,BANKNIFTY,0,28-10-2021,39500,0.05,25,CE,NFO-OPT,NFO
30417,10048258,39251,BANKNIFTY21OCT39500PE,BANKNIFTY,0,28-10-2021,39500,0.05,25,PE,NFO-OPT,NFO
30418,10052610,39268,BANKNIFTY21OCT39600CE,BANKNIFTY,0,28-10-2021,39600,0.05,25,CE,NFO-OPT,NFO
30419,10052866,39269,BANKNIFTY21OCT39600PE,BANKNIFTY,0,28-10-2021,39600,0.05,25,PE,NFO-OPT,NFO
30420,10063618,39311,BANKNIFTY21OCT39700CE,BANKNIFTY,0,28-10-2021,39700,0.05,25,CE,NFO-OPT,NFO
30421,10063874,39312,BANKNIFTY21OCT39700PE,BANKNIFTY,0,28-10-2021,39700,0.05,25,PE,NFO-OPT,NFO
30422,10064130,39313,BANKNIFTY21OCT39800CE,BANKNIFTY,0,28-10-2021,39800,0.05,25,CE,NFO-OPT,NFO
30423,10066946,39324,BANKNIFTY21OCT39800PE,BANKNIFTY,0,28-10-2021,39800,0.05,25,PE,NFO-OPT,NFO
30424,10071810,39343,BANKNIFTY21OCT39900CE,BANKNIFTY,0,28-10-2021,39900,0.05,25,CE,NFO-OPT,NFO
30425,10072322,39345,BANKNIFTY21OCT39900PE,BANKNIFTY,0,28-10-2021,39900,0.05,25,PE,NFO-OPT,NFO
30426,10072578,39346,BANKNIFTY21OCT40000CE,BANKNIFTY,0,28-10-2021,40000,0.05,25,CE,NFO-OPT,NFO
30427,10072834,39347,BANKNIFTY21OCT40000PE,BANKNIFTY,0,28-10-2021,40000,0.05,25,PE,NFO-OPT,NFO
30428,10751490,41998,BANKNIFTY21OCT40100CE,BANKNIFTY,0,28-10-2021,40100,0.05,25,CE,NFO-OPT,NFO
30429,10752258,42001,BANKNIFTY21OCT40100PE,BANKNIFTY,0,28-10-2021,40100,0.05,25,PE,NFO-OPT,NFO
30430,10761986,42039,BANKNIFTY21OCT40200CE,BANKNIFTY,0,28-10-2021,40200,0.05,25,CE,NFO-OPT,NFO
30431,10762242,42040,BANKNIFTY21OCT40200PE,BANKNIFTY,0,28-10-2021,40200,0.05,25,PE,NFO-OPT,NFO
30432,9279746,36249,BANKNIFTY21OCT40300CE,BANKNIFTY,0,28-10-2021,40300,0.05,25,CE,NFO-OPT,NFO
30433,9280002,36250,BANKNIFTY21OCT40300PE,BANKNIFTY,0,28-10-2021,40300,0.05,25,PE,NFO-OPT,NFO
30434,9820162,38360,BANKNIFTY21OCT40400CE,BANKNIFTY,0,28-10-2021,40400,0.05,25,CE,NFO-OPT,NFO
30435,9820930,38363,BANKNIFTY21OCT40400PE,BANKNIFTY,0,28-10-2021,40400,0.05,25,PE,NFO-OPT,NFO
30436,10476290,40923,BANKNIFTY21OCT40500CE,BANKNIFTY,0,28-10-2021,40500,0.05,25,CE,NFO-OPT,NFO
30437,10476546,40924,BANKNIFTY21OCT40500PE,BANKNIFTY,0,28-10-2021,40500,0.05,25,PE,NFO-OPT,NFO
30438,10476802,40925,BANKNIFTY21OCT40600CE,BANKNIFTY,0,28-10-2021,40600,0.05,25,CE,NFO-OPT,NFO
