,Unnamed: 0,instrument_token,name,tradingsymbol,strike,expiry,instrument_type
25,15310,347651,GBPINR,GBPINR21D17FUT,0,17-12-2021,FUT
26,15311,509443,GBPINR,GBPINR21D24FUT,0,24-12-2021,FUT
27,15312,1157123,GBPINR,GBPINR21D31FUT,0,31-12-2021,FUT
28,15313,315139,GBPINR,GBPINR21DECFUT,0,29-12-2021,FUT
29,15314,803075,GBPINR,GBPINR21NOVFUT,0,26-11-2021,FUT
30,15315,1837827,GBPINR,GBPINR22107FUT,0,07-01-2022,FUT
31,15316,1833475,GBPINR,GBPINR22114FUT,0,14-01-2022,FUT
32,15317,300035,GBPINR,GBPINR22121FUT,0,21-01-2022,FUT
33,15318,512003,GBPINR,GBPINR22128FUT,0,28-01-2022,FUT
34,15319,2492931,GBPINR,GBPINR22204FUT,0,04-02-2022,FUT
35,15320,2678275,GBPINR,GBPINR22211FUT,0,11-02-2022,FUT
36,15321,294147,GBPINR,GBPINR22APRFUT,0,27-04-2022,FUT
37,15322,273667,GBPINR,GBPINR22AUGFUT,0,29-08-2022,FUT
38,15323,2612995,GBPINR,GBPINR22FEBFUT,0,24-02-2022,FUT
39,15324,277251,GBPINR,GBPINR22JANFUT,0,27-01-2022,FUT
40,15325,378115,GBPINR,GBPINR22JULFUT,0,27-07-2022,FUT
41,15326,307715,GBPINR,GBPINR22JUNFUT,0,28-06-2022,FUT
42,15327,452355,GBPINR,GBPINR22MARFUT,0,29-03-2022,FUT
43,15328,335875,GBPINR,GBPINR22MAYFUT,0,27-05-2022,FUT
44,15329,285187,GBPINR,GBPINR22OCTFUT,0,27-10-2022,FUT
45,15330,279555,GBPINR,GBPINR22SEPFUT,0,28-09-2022,FUT
46,15331,345603,JPYINR,JPYINR21D03FUT,0,03-12-2021,FUT
47,15332,632323,JPYINR,JPYINR21D10FUT,0,10-12-2021,FUT
48,15333,347907,JPYINR,JPYINR21D17FUT,0,17-12-2021,FUT
49,15334,509699,JPYINR,JPYINR21D24FUT,0,24-12-2021,FUT
50,15335,1157379,JPYINR,JPYINR21D31FUT,0,31-12-2021,FUT
51,15336,363523,JPYINR,JPYINR21DECFUT,0,29-12-2021,FUT
52,15337,806403,JPYINR,JPYINR21NOVFUT,0,26-11-2021,FUT
53,15338,1838083,JPYINR,JPYINR22107FUT,0,07-01-2022,FUT
54,15339,1833731,JPYINR,JPYINR22114FUT,0,14-01-2022,FUT
55,15340,302083,JPYINR,JPYINR22121FUT,0,21-01-2022,FUT
56,15341,512771,JPYINR,JPYINR22128FUT,0,28-01-2022,FUT
57,15342,2493187,JPYINR,JPYINR22204FUT,0,04-02-2022,FUT
58,15343,2678531,JPYINR,JPYINR22211FUT,0,11-02-2022,FUT
59,15344,296707,JPYINR,JPYINR22APRFUT,0,27-04-2022,FUT
60,15345,275459,JPYINR,JPYINR22AUGFUT,0,29-08-2022,FUT
61,15346,2613507,JPYINR,JPYINR22FEBFUT,0,24-02-2022,FUT
62,15347,289027,JPYINR,JPYINR22JANFUT,0,27-01-2022,FUT
63,15348,381187,JPYINR,JPYINR22JULFUT,0,27-07-2022,FUT
64,15349,315907,JPYINR,JPYINR22JUNFUT,0,28-06-2022,FUT
65,15350,454659,JPYINR,JPYINR22MARFUT,0,29-03-2022,FUT
66,15351,351491,JPYINR,JPYINR22MAYFUT,0,27-05-2022,FUT
67,15352,299011,JPYINR,JPYINR22OCTFUT,0,27-10-2022,FUT
68,15353,281603,JPYINR,JPYINR22SEPFUT,0,28-09-2022,FUT
69,15360,1751043,USDINR,USDINR21D03FUT,0,03-12-2021,FUT
70,15361,1751299,USDINR,USDINR21D10FUT,0,10-12-2021,FUT
71,15362,1751555,USDINR,USDINR21D17FUT,0,17-12-2021,FUT
72,15363,1754627,USDINR,USDINR21D24FUT,0,24-12-2021,FUT
73,15364,1754883,USDINR,USDINR21D31FUT,0,31-12-2021,FUT
74,15365,363779,USDINR,USDINR21DECFUT,0,29-12-2021,FUT
75,15366,830467,USDINR,USDINR21NOVFUT,0,26-11-2021,FUT
76,15367,1838339,USDINR,USDINR22107FUT,0,07-01-2022,FUT
77,15368,1833987,USDINR,USDINR22114FUT,0,14-01-2022,FUT
78,15369,303107,USDINR,USDINR22121FUT,0,21-01-2022,FUT
79,15370,517635,USDINR,USDINR22128FUT,0,28-01-2022,FUT
80,15371,2493443,USDINR,USDINR22204FUT,0,04-02-2022,FUT
81,15372,2678787,USDINR,USDINR22211FUT,0,11-02-2022,FUT
82,15373,299523,USDINR,USDINR22APRFUT,0,27-04-2022,FUT
83,15374,279299,USDINR,USDINR22AUGFUT,0,29-08-2022,FUT
84,15375,2613763,USDINR,USDINR22FEBFUT,0,24-02-2022,FUT
85,15376,289539,USDINR,USDINR22JANFUT,0,27-01-2022,FUT
86,15377,384771,USDINR,USDINR22JULFUT,0,27-07-2022,FUT
87,15378,316675,USDINR,USDINR22JUNFUT,0,28-06-2022,FUT
88,15379,455427,USDINR,USDINR22MARFUT,0,29-03-2022,FUT
89,15380,353539,USDINR,USDINR22MAYFUT,0,27-05-2022,FUT
90,15381,301059,USDINR,USDINR22OCTFUT,0,27-10-2022,FUT
91,15382,290819,USDINR,USDINR22SEPFUT,0,28-09-2022,FUT
92,15383,3,USDINR,USDINR29MAR2227APR22FUT,0,29-03-2022,FUT
93,96277,18258178,NIFTY,NIFTY21DECFUT,0,30-12-2021,FUT
94,96278,13720834,NIFTY,NIFTY21NOVFUT,0,25-11-2021,FUT
95,96279,13379586,NIFTY,NIFTY22JANFUT,0,27-01-2022,FUT
96,96280,18257666,BANKNIFTY,BANKNIFTY21DECFUT,0,30-12-2021,FUT
97,96281,13720322,BANKNIFTY,BANKNIFTY21NOVFUT,0,25-11-2021,FUT
98,96282,13379330,BANKNIFTY,BANKNIFTY22JANFUT,0,27-01-2022,FUT
99,96283,18258434,AARTIIND,AARTIIND21DECFUT,0,30-12-2021,FUT
100,96284,13721090,AARTIIND,AARTIIND21NOVFUT,0,25-11-2021,FUT
101,96285,13379842,AARTIIND,AARTIIND22JANFUT,0,27-01-2022,FUT
102,96286,18259202,ABBOTINDIA,ABBOTINDIA21DECFUT,0,30-12-2021,FUT
103,96287,18258946,ABBOTINDIA,ABBOTINDIA21NOVFUT,0,25-11-2021,FUT
104,96288,13380098,ABBOTINDIA,ABBOTINDIA22JANFUT,0,27-01-2022,FUT
105,96289,18259458,ABFRL,ABFRL21DECFUT,0,30-12-2021,FUT
106,96290,13721346,ABFRL,ABFRL21NOVFUT,0,25-11-2021,FUT
107,96291,13380354,ABFRL,ABFRL22JANFUT,0,27-01-2022,FUT
108,96292,18259714,ACC,ACC21DECFUT,0,30-12-2021,FUT
109,96293,13721602,ACC,ACC21NOVFUT,0,25-11-2021,FUT
110,96294,13380610,ACC,ACC22JANFUT,0,27-01-2022,FUT
111,96295,18259970,ADANIENT,ADANIENT21DECFUT,0,30-12-2021,FUT
112,96296,13721858,ADANIENT,ADANIENT21NOVFUT,0,25-11-2021,FUT
113,96297,13380866,ADANIENT,ADANIENT22JANFUT,0,27-01-2022,FUT
114,96298,18260226,ADANIPORTS,ADANIPORTS21DECFUT,0,30-12-2021,FUT
115,96299,13722114,ADANIPORTS,ADANIPORTS21NOVFUT,0,25-11-2021,FUT
116,96300,13381122,ADANIPORTS,ADANIPORTS22JANFUT,0,27-01-2022,FUT
117,96301,18260482,ALKEM,ALKEM21DECFUT,0,30-12-2021,FUT
118,96302,13722370,ALKEM,ALKEM21NOVFUT,0,25-11-2021,FUT
119,96303,13381378,ALKEM,ALKEM22JANFUT,0,27-01-2022,FUT
120,96304,18260738,AMARAJABAT,AMARAJABAT21DECFUT,0,30-12-2021,FUT
121,96305,13722626,AMARAJABAT,AMARAJABAT21NOVFUT,0,25-11-2021,FUT
122,96306,13381634,AMARAJABAT,AMARAJABAT22JANFUT,0,27-01-2022,FUT
123,96307,18260994,AMBUJACEM,AMBUJACEM21DECFUT,0,30-12-2021,FUT
124,96308,13722882,AMBUJACEM,AMBUJACEM21NOVFUT,0,25-11-2021,FUT
125,96309,13381890,AMBUJACEM,AMBUJACEM22JANFUT,0,27-01-2022,FUT
126,96310,2,AMBUJACEM,AMBUJACEM30DEC2127JAN22FUT,0,30-12-2021,FUT
127,96311,18261250,APLLTD,APLLTD21DECFUT,0,30-12-2021,FUT
128,96312,13723138,APLLTD,APLLTD21NOVFUT,0,25-11-2021,FUT
129,96313,13382146,APLLTD,APLLTD22JANFUT,0,27-01-2022,FUT
130,96314,18261506,APOLLOHOSP,APOLLOHOSP21DECFUT,0,30-12-2021,FUT
131,96315,13723394,APOLLOHOSP,APOLLOHOSP21NOVFUT,0,25-11-2021,FUT
132,96316,13382402,APOLLOHOSP,APOLLOHOSP22JANFUT,0,27-01-2022,FUT
133,96317,18261762,APOLLOTYRE,APOLLOTYRE21DECFUT,0,30-12-2021,FUT
134,96318,13723650,APOLLOTYRE,APOLLOTYRE21NOVFUT,0,25-11-2021,FUT
135,96319,13382658,APOLLOTYRE,APOLLOTYRE22JANFUT,0,27-01-2022,FUT
136,96320,18262018,ASHOKLEY,ASHOKLEY21DECFUT,0,30-12-2021,FUT
137,96321,13723906,ASHOKLEY,ASHOKLEY21NOVFUT,0,25-11-2021,FUT
138,96322,13382914,ASHOKLEY,ASHOKLEY22JANFUT,0,27-01-2022,FUT
139,96323,18262274,ASIANPAINT,ASIANPAINT21DECFUT,0,30-12-2021,FUT
140,96324,13724162,ASIANPAINT,ASIANPAINT21NOVFUT,0,25-11-2021,FUT
141,96325,13383170,ASIANPAINT,ASIANPAINT22JANFUT,0,27-01-2022,FUT
142,96326,18262530,ASTRAL,ASTRAL21DECFUT,0,30-12-2021,FUT
143,96327,13724418,ASTRAL,ASTRAL21NOVFUT,0,25-11-2021,FUT
144,96328,13383426,ASTRAL,ASTRAL22JANFUT,0,27-01-2022,FUT
145,96329,13383938,ATUL,ATUL21DECFUT,0,30-12-2021,FUT
146,96330,13383682,ATUL,ATUL21NOVFUT,0,25-11-2021,FUT
147,96331,13384194,ATUL,ATUL22JANFUT,0,27-01-2022,FUT
148,96332,18262786,AUBANK,AUBANK21DECFUT,0,30-12-2021,FUT
149,96333,13724674,AUBANK,AUBANK21NOVFUT,0,25-11-2021,FUT
150,96334,13384450,AUBANK,AUBANK22JANFUT,0,27-01-2022,FUT
151,96335,18263042,AUROPHARMA,AUROPHARMA21DECFUT,0,30-12-2021,FUT
152,96336,13724930,AUROPHARMA,AUROPHARMA21NOVFUT,0,25-11-2021,FUT
153,96337,13384706,AUROPHARMA,AUROPHARMA22JANFUT,0,27-01-2022,FUT
154,96338,18263298,AXISBANK,AXISBANK21DECFUT,0,30-12-2021,FUT
155,96339,13725186,AXISBANK,AXISBANK21NOVFUT,0,25-11-2021,FUT
156,96340,13384962,AXISBANK,AXISBANK22JANFUT,0,27-01-2022,FUT
157,96341,18263554,BAJAJ-AUTO,BAJAJ-AUTO21DECFUT,0,30-12-2021,FUT
158,96342,13725442,BAJAJ-AUTO,BAJAJ-AUTO21NOVFUT,0,25-11-2021,FUT
159,96343,13385218,BAJAJ-AUTO,BAJAJ-AUTO22JANFUT,0,27-01-2022,FUT
160,96344,18263810,BAJAJFINSV,BAJAJFINSV21DECFUT,0,30-12-2021,FUT
161,96345,13725698,BAJAJFINSV,BAJAJFINSV21NOVFUT,0,25-11-2021,FUT
162,96346,13385474,BAJAJFINSV,BAJAJFINSV22JANFUT,0,27-01-2022,FUT
163,96347,18264066,BAJFINANCE,BAJFINANCE21DECFUT,0,30-12-2021,FUT
164,96348,13725954,BAJFINANCE,BAJFINANCE21NOVFUT,0,25-11-2021,FUT
165,96349,13385730,BAJFINANCE,BAJFINANCE22JANFUT,0,27-01-2022,FUT
166,96350,18264322,BALKRISIND,BALKRISIND21DECFUT,0,30-12-2021,FUT
167,96351,13726210,BALKRISIND,BALKRISIND21NOVFUT,0,25-11-2021,FUT
168,96352,13385986,BALKRISIND,BALKRISIND22JANFUT,0,27-01-2022,FUT
169,96353,18264578,BANDHANBNK,BANDHANBNK21DECFUT,0,30-12-2021,FUT
170,96354,13726466,BANDHANBNK,BANDHANBNK21NOVFUT,0,25-11-2021,FUT
171,96355,13386242,BANDHANBNK,BANDHANBNK22JANFUT,0,27-01-2022,FUT
172,96356,18264834,BANKBARODA,BANKBARODA21DECFUT,0,30-12-2021,FUT
173,96357,13726722,BANKBARODA,BANKBARODA21NOVFUT,0,25-11-2021,FUT
174,96358,13386498,BANKBARODA,BANKBARODA22JANFUT,0,27-01-2022,FUT
175,96359,18265090,BATAINDIA,BATAINDIA21DECFUT,0,30-12-2021,FUT
176,96360,13726978,BATAINDIA,BATAINDIA21NOVFUT,0,25-11-2021,FUT
177,96361,13386754,BATAINDIA,BATAINDIA22JANFUT,0,27-01-2022,FUT
178,96362,18266626,BEL,BEL21DECFUT,0,30-12-2021,FUT
179,96363,13727234,BEL,BEL21NOVFUT,0,25-11-2021,FUT
180,96364,13387010,BEL,BEL22JANFUT,0,27-01-2022,FUT
181,96365,18266882,BERGEPAINT,BERGEPAINT21DECFUT,0,30-12-2021,FUT
182,96366,13727490,BERGEPAINT,BERGEPAINT21NOVFUT,0,25-11-2021,FUT
183,96367,13387266,BERGEPAINT,BERGEPAINT22JANFUT,0,27-01-2022,FUT
184,96368,18267138,BHARATFORG,BHARATFORG21DECFUT,0,30-12-2021,FUT
185,96369,13727746,BHARATFORG,BHARATFORG21NOVFUT,0,25-11-2021,FUT
186,96370,13387522,BHARATFORG,BHARATFORG22JANFUT,0,27-01-2022,FUT
187,96371,18267394,BHARTIARTL,BHARTIARTL21DECFUT,0,30-12-2021,FUT
188,96372,13728002,BHARTIARTL,BHARTIARTL21NOVFUT,0,25-11-2021,FUT
189,96373,13387778,BHARTIARTL,BHARTIARTL22JANFUT,0,27-01-2022,FUT
190,96374,18267650,BHEL,BHEL21DECFUT,0,30-12-2021,FUT
191,96375,13728258,BHEL,BHEL21NOVFUT,0,25-11-2021,FUT
192,96376,13388034,BHEL,BHEL22JANFUT,0,27-01-2022,FUT
193,96377,18267906,BIOCON,BIOCON21DECFUT,0,30-12-2021,FUT
194,96378,13728514,BIOCON,BIOCON21NOVFUT,0,25-11-2021,FUT
195,96379,13388290,BIOCON,BIOCON22JANFUT,0,27-01-2022,FUT
196,96380,18268162,BOSCHLTD,BOSCHLTD21DECFUT,0,30-12-2021,FUT
197,96381,13728770,BOSCHLTD,BOSCHLTD21NOVFUT,0,25-11-2021,FUT
198,96382,13388546,BOSCHLTD,BOSCHLTD22JANFUT,0,27-01-2022,FUT
199,96383,18268418,BPCL,BPCL21DECFUT,0,30-12-2021,FUT
200,96384,13729026,BPCL,BPCL21NOVFUT,0,25-11-2021,FUT
201,96385,13388802,BPCL,BPCL22JANFUT,0,27-01-2022,FUT
202,96386,18268674,BRITANNIA,BRITANNIA21DECFUT,0,30-12-2021,FUT
203,96387,13729282,BRITANNIA,BRITANNIA21NOVFUT,0,25-11-2021,FUT
204,96388,13389058,BRITANNIA,BRITANNIA22JANFUT,0,27-01-2022,FUT
205,96389,13389570,BSOFT,BSOFT21DECFUT,0,30-12-2021,FUT
206,96390,13389314,BSOFT,BSOFT21NOVFUT,0,25-11-2021,FUT
207,96391,13389826,BSOFT,BSOFT22JANFUT,0,27-01-2022,FUT
208,96392,18268930,CADILAHC,CADILAHC21DECFUT,0,30-12-2021,FUT
209,96393,13729538,CADILAHC,CADILAHC21NOVFUT,0,25-11-2021,FUT
210,96394,13390082,CADILAHC,CADILAHC22JANFUT,0,27-01-2022,FUT
211,96395,18269186,CANBK,CANBK21DECFUT,0,30-12-2021,FUT
212,96396,13729794,CANBK,CANBK21NOVFUT,0,25-11-2021,FUT
213,96397,13390338,CANBK,CANBK22JANFUT,0,27-01-2022,FUT
214,96398,18269442,CANFINHOME,CANFINHOME21DECFUT,0,30-12-2021,FUT
215,96399,13730562,CANFINHOME,CANFINHOME21NOVFUT,0,25-11-2021,FUT
216,96400,13390594,CANFINHOME,CANFINHOME22JANFUT,0,27-01-2022,FUT
217,96401,13391106,CHAMBLFERT,CHAMBLFERT21DECFUT,0,30-12-2021,FUT
218,96402,13390850,CHAMBLFERT,CHAMBLFERT21NOVFUT,0,25-11-2021,FUT
219,96403,13391362,CHAMBLFERT,CHAMBLFERT22JANFUT,0,27-01-2022,FUT
220,96404,18269698,CHOLAFIN,CHOLAFIN21DECFUT,0,30-12-2021,FUT
221,96405,13730818,CHOLAFIN,CHOLAFIN21NOVFUT,0,25-11-2021,FUT
222,96406,13391618,CHOLAFIN,CHOLAFIN22JANFUT,0,27-01-2022,FUT
223,96407,18269954,CIPLA,CIPLA21DECFUT,0,30-12-2021,FUT
224,96408,13731074,CIPLA,CIPLA21NOVFUT,0,25-11-2021,FUT
225,96409,13617154,CIPLA,CIPLA22JANFUT,0,27-01-2022,FUT
226,96410,18270210,COALINDIA,COALINDIA21DECFUT,0,30-12-2021,FUT
227,96411,13731330,COALINDIA,COALINDIA21NOVFUT,0,25-11-2021,FUT
228,96412,13617410,COALINDIA,COALINDIA22JANFUT,0,27-01-2022,FUT
229,96413,18270466,COFORGE,COFORGE21DECFUT,0,30-12-2021,FUT
230,96414,13731586,COFORGE,COFORGE21NOVFUT,0,25-11-2021,FUT
231,96415,13702658,COFORGE,COFORGE22JANFUT,0,27-01-2022,FUT
232,96416,18270722,COLPAL,COLPAL21DECFUT,0,30-12-2021,FUT
233,96417,13731842,COLPAL,COLPAL21NOVFUT,0,25-11-2021,FUT
234,96418,13703938,COLPAL,COLPAL22JANFUT,0,27-01-2022,FUT
235,96419,18270978,CONCOR,CONCOR21DECFUT,0,30-12-2021,FUT
236,96420,13732098,CONCOR,CONCOR21NOVFUT,0,25-11-2021,FUT
237,96421,13704194,CONCOR,CONCOR22JANFUT,0,27-01-2022,FUT
238,96422,18271234,COROMANDEL,COROMANDEL21DECFUT,0,30-12-2021,FUT
239,96423,13732354,COROMANDEL,COROMANDEL21NOVFUT,0,25-11-2021,FUT
240,96424,13704450,COROMANDEL,COROMANDEL22JANFUT,0,27-01-2022,FUT
241,96425,18272002,CROMPTON,CROMPTON21DECFUT,0,30-12-2021,FUT
242,96426,18271746,CROMPTON,CROMPTON21NOVFUT,0,25-11-2021,FUT
243,96427,15144706,CROMPTON,CROMPTON22JANFUT,0,27-01-2022,FUT
244,96428,18272258,CUB,CUB21DECFUT,0,30-12-2021,FUT
245,96429,13732610,CUB,CUB21NOVFUT,0,25-11-2021,FUT
246,96430,15144962,CUB,CUB22JANFUT,0,27-01-2022,FUT
247,96431,18272514,CUMMINSIND,CUMMINSIND21DECFUT,0,30-12-2021,FUT
248,96432,13732866,CUMMINSIND,CUMMINSIND21NOVFUT,0,25-11-2021,FUT
249,96433,16125954,CUMMINSIND,CUMMINSIND22JANFUT,0,27-01-2022,FUT
250,96434,18276354,DABUR,DABUR21DECFUT,0,30-12-2021,FUT
251,96435,13733122,DABUR,DABUR21NOVFUT,0,25-11-2021,FUT
252,96436,16129282,DABUR,DABUR22JANFUT,0,27-01-2022,FUT
253,96437,18278402,DALBHARAT,DALBHARAT21DECFUT,0,30-12-2021,FUT
254,96438,18277634,DALBHARAT,DALBHARAT21NOVFUT,0,25-11-2021,FUT
255,96439,16708098,DALBHARAT,DALBHARAT22JANFUT,0,27-01-2022,FUT
256,96440,18278658,DEEPAKNTR,DEEPAKNTR21DECFUT,0,30-12-2021,FUT
257,96441,13733378,DEEPAKNTR,DEEPAKNTR21NOVFUT,0,25-11-2021,FUT
258,96442,16708354,DEEPAKNTR,DEEPAKNTR22JANFUT,0,27-01-2022,FUT
259,96443,18279938,DELTACORP,DELTACORP21DECFUT,0,30-12-2021,FUT
260,96444,18279682,DELTACORP,DELTACORP21NOVFUT,0,25-11-2021,FUT
261,96445,16708610,DELTACORP,DELTACORP22JANFUT,0,27-01-2022,FUT
262,96446,18280194,DIVISLAB,DIVISLAB21DECFUT,0,30-12-2021,FUT
263,96447,13733634,DIVISLAB,DIVISLAB21NOVFUT,0,25-11-2021,FUT
264,96448,16708866,DIVISLAB,DIVISLAB22JANFUT,0,27-01-2022,FUT
265,96449,18280450,DIXON,DIXON21DECFUT,0,30-12-2021,FUT
266,96450,13734402,DIXON,DIXON21NOVFUT,0,25-11-2021,FUT
267,96451,16709122,DIXON,DIXON22JANFUT,0,27-01-2022,FUT
268,96452,18280706,DLF,DLF21DECFUT,0,30-12-2021,FUT
269,96453,13734658,DLF,DLF21NOVFUT,0,25-11-2021,FUT
270,96454,16709378,DLF,DLF22JANFUT,0,27-01-2022,FUT
271,96455,18280962,DRREDDY,DRREDDY21DECFUT,0,30-12-2021,FUT
272,96456,13734914,DRREDDY,DRREDDY21NOVFUT,0,25-11-2021,FUT
273,96457,17022978,DRREDDY,DRREDDY22JANFUT,0,27-01-2022,FUT
274,96458,18281218,EICHERMOT,EICHERMOT21DECFUT,0,30-12-2021,FUT
275,96459,13735170,EICHERMOT,EICHERMOT21NOVFUT,0,25-11-2021,FUT
276,96460,17023234,EICHERMOT,EICHERMOT22JANFUT,0,27-01-2022,FUT
277,96461,18281474,ESCORTS,ESCORTS21DECFUT,0,30-12-2021,FUT
278,96462,13735426,ESCORTS,ESCORTS21NOVFUT,0,25-11-2021,FUT
279,96463,17321218,ESCORTS,ESCORTS22JANFUT,0,27-01-2022,FUT
280,96464,18281730,EXIDEIND,EXIDEIND21DECFUT,0,30-12-2021,FUT
281,96465,13735682,EXIDEIND,EXIDEIND21NOVFUT,0,25-11-2021,FUT
282,96466,17321474,EXIDEIND,EXIDEIND22JANFUT,0,27-01-2022,FUT
283,96467,18281986,FEDERALBNK,FEDERALBNK21DECFUT,0,30-12-2021,FUT
284,96468,13735938,FEDERALBNK,FEDERALBNK21NOVFUT,0,25-11-2021,FUT
285,96469,17321730,FEDERALBNK,FEDERALBNK22JANFUT,0,27-01-2022,FUT
286,96470,10774530,FINNIFTY,FINNIFTY21D07FUT,0,07-12-2021,FUT
287,96471,18257922,FINNIFTY,FINNIFTY21DECFUT,0,28-12-2021,FUT
288,96472,13720578,FINNIFTY,FINNIFTY21N23FUT,0,23-11-2021,FUT
289,96473,16743682,FINNIFTY,FINNIFTY21NOVFUT,0,30-11-2021,FUT
290,96474,17050114,FINNIFTY,FINNIFTY22JANFUT,0,25-01-2022,FUT
291,96475,17322242,FSL,FSL21DECFUT,0,30-12-2021,FUT
292,96476,17321986,FSL,FSL21NOVFUT,0,25-11-2021,FUT
293,96477,17322498,FSL,FSL22JANFUT,0,27-01-2022,FUT
294,96478,18282242,GAIL,GAIL21DECFUT,0,30-12-2021,FUT
295,96479,13736194,GAIL,GAIL21NOVFUT,0,25-11-2021,FUT
296,96480,17322754,GAIL,GAIL22JANFUT,0,27-01-2022,FUT
297,96481,18282498,GLENMARK,GLENMARK21DECFUT,0,30-12-2021,FUT
298,96482,13736450,GLENMARK,GLENMARK21NOVFUT,0,25-11-2021,FUT
299,96483,17323010,GLENMARK,GLENMARK22JANFUT,0,27-01-2022,FUT
300,96484,18282754,GMRINFRA,GMRINFRA21DECFUT,0,30-12-2021,FUT
301,96485,13736706,GMRINFRA,GMRINFRA21NOVFUT,0,25-11-2021,FUT
302,96486,17323266,GMRINFRA,GMRINFRA22JANFUT,0,27-01-2022,FUT
303,96487,18283010,GODREJCP,GODREJCP21DECFUT,0,30-12-2021,FUT
304,96488,13736962,GODREJCP,GODREJCP21NOVFUT,0,25-11-2021,FUT
305,96489,17323522,GODREJCP,GODREJCP22JANFUT,0,27-01-2022,FUT
306,96490,18283266,GODREJPROP,GODREJPROP21DECFUT,0,30-12-2021,FUT
307,96491,13737218,GODREJPROP,GODREJPROP21NOVFUT,0,25-11-2021,FUT
308,96492,17323778,GODREJPROP,GODREJPROP22JANFUT,0,27-01-2022,FUT
309,96493,18283522,GRANULES,GRANULES21DECFUT,0,30-12-2021,FUT
310,96494,13737474,GRANULES,GRANULES21NOVFUT,0,25-11-2021,FUT
311,96495,17324034,GRANULES,GRANULES22JANFUT,0,27-01-2022,FUT
312,96496,18283778,GRASIM,GRASIM21DECFUT,0,30-12-2021,FUT
313,96497,13737730,GRASIM,GRASIM21NOVFUT,0,25-11-2021,FUT
314,96498,17324290,GRASIM,GRASIM22JANFUT,0,27-01-2022,FUT
315,96499,17324802,GSPL,GSPL21DECFUT,0,30-12-2021,FUT
316,96500,17324546,GSPL,GSPL21NOVFUT,0,25-11-2021,FUT
317,96501,17325058,GSPL,GSPL22JANFUT,0,27-01-2022,FUT
318,96502,18284034,GUJGASLTD,GUJGASLTD21DECFUT,0,30-12-2021,FUT
319,96503,13737986,GUJGASLTD,GUJGASLTD21NOVFUT,0,25-11-2021,FUT
320,96504,17325314,GUJGASLTD,GUJGASLTD22JANFUT,0,27-01-2022,FUT
321,96505,18284290,HAL,HAL21DECFUT,0,30-12-2021,FUT
322,96506,13738754,HAL,HAL21NOVFUT,0,25-11-2021,FUT
323,96507,17325570,HAL,HAL22JANFUT,0,27-01-2022,FUT
324,96508,18284546,HAVELLS,HAVELLS21DECFUT,0,30-12-2021,FUT
325,96509,13739010,HAVELLS,HAVELLS21NOVFUT,0,25-11-2021,FUT
326,96510,17325826,HAVELLS,HAVELLS22JANFUT,0,27-01-2022,FUT
327,96511,18284802,HCLTECH,HCLTECH21DECFUT,0,30-12-2021,FUT
328,96512,13739266,HCLTECH,HCLTECH21NOVFUT,0,25-11-2021,FUT
329,96513,17326082,HCLTECH,HCLTECH22JANFUT,0,27-01-2022,FUT
330,96514,18285058,HDFC,HDFC21DECFUT,0,30-12-2021,FUT
331,96515,13739522,HDFC,HDFC21NOVFUT,0,25-11-2021,FUT
332,96516,17326338,HDFC,HDFC22JANFUT,0,27-01-2022,FUT
333,96517,18285314,HDFCAMC,HDFCAMC21DECFUT,0,30-12-2021,FUT
